Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,857704413.407821,945244972.067039,1110565880.75881,1200447408.37696,1339494267.01571,1472036540.13329,1342287553.19149,1580229799.42693,1753746429.62092,2245011514.55676,2140384010.0724,2589851325.14544,3059681697.61273,3239487516.42576,5159557147.50895,6826980444.14982,7633528866.93424,7696011396.0114,9275200458.19015,9929681528.66242,13062420382.1656,15518201335.3151,16298929011.4681,17589277143.1314,17503078174.0039,16403539892.7783,13293205278.2803,11356215543.3043,10577041644.9944,9853395761.63227,12308624417.8268,12981833333.3333,13253565861.1424,13695962055.4771,10122020000,11396706586.8263,13789560878.2435,14505233463.035,15200846153.8462,15873875968.9922,18937052543.4373,20237024724.7039,20669357462.3831,21828144686.0394,25086950495.0495,28858965517.2414,33751788856.305,40465318382.0585,52557913568.9549,54111735628.7065,61390830874.7007,67539428159.4474,43190318032.5627,21361254635.051,21502061465.9498,16466863117.0009,12597854877.4254,16369843352.3453,21497782867.6426,22583045060.0821,12047752036.091,14353205678.4991,23622827079.5047,19993439949.5435,..
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.4,98.7,98.7,98.8,98.9,98.9,98.8,98.7,98.7,98.5,98.3,98,97.6,97.2,96.8,96.3,95.7,95,94.6,93.6,92.5,91.5,90.5,..,..
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.6,97.7,97.8,98,98,98,98,97.8,97.8,97.4,97.3,97,96.6,96.3,96,95.45,95.1,94.45,94,93.5,92.7,92,91.1,..,..
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.8,99.8,99.8,99.8,99.7,99.7,99.6,99.6,99.5,99.4,99.3,99.3,99.1,99,98.8,98.7,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.4,93.1,86.6,92.6,92.3,92,99.5,91.5,91.3,91.1,92.7,91.5,90.7,90.4,90.2,90,89.8,89.6,86,89.2,89,88.8,89,88.4,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.1,86.4,72.2,84.8,84,83.1,99.2,81.5,80.8,80.2,83.6,81.2,80,79.8,79.8,79.1,78.4,77.7,69.5,76.2,75.4,74.5,75,72.8,..
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.2,99.3,99.5,99.4,99.5,99.6,99.8,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.2530858353611,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5879996886851,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.7666466636967,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.7488068461135,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.7884233269882,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.6816194847903,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8327406045361,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.3379694425324,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.246435784041,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.6289922976003,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.6289922976003,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,72.8804,..,81.93558,83.57957,83.73304,84.46257,85.35489,85.05841,84.88067,85.78521,85.79782,86.06373,86.49661,88.33161,89.81324,91.45233,94.83507,94.70753,95.03837,94.73268,95.76462,96.16329,96.20813,96.43579,96.46908,96.37966,95.58284,96.59874,96.52878,96.86077,97.52997,97.70379,98.37998,98.99464,99.19218,99.05997,98.97107,99.03782,98.9401,98.94972,..,..,72.24962,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,54.53103,..,64.77191,..,..,..,..,70.67829,71.65629,74.63192,75.87662,77.6257,78.88,81.55799,83.88293,86.26913,90.31361,90.36516,90.98338,90.57479,..,..,..,..,..,92.60985,92.0179,93.29962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.45407,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,90.91126,..,98.75743,..,..,..,..,99.04287,97.72327,96.6011,95.40417,94.22702,93.85757,94.87068,95.53236,96.44669,99.1881,98.88485,98.93645,98.72691,..,..,..,..,..,99.99182,98.99943,99.76236,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.01293,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14164850310.2976,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65560786083.6197,72352842615.5113,75081172718.9338,78909012565.1816,95893047429.0973,111941723649.031,131193686369.309,156292206744.357,187292346398.165,197398562681.8,217910728374.083,50128321751.0348,34274026057.6426,17313410632.8769,18267655189.7962,14164850310.2976,11188892696.923,14690012611.3898,19283835785.1023,20462312512.0926,10089108768.2855,..,..,..,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,729.221563600252,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3940.45122094942,4243.23549363172,4298.13062397336,4410.9624305608,5229.51961166215,5949.88743538186,6680.93595705647,7483.78046695071,8656.28878957699,8982.06493724407,9692.49389885916,2191.10529865878,1505.90434784592,799.071258401779,901.053686944039,729.221563600252,582.942037371116,764.123084538563,984.982554775681,1005.34445330686,479.305579656603,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.24412897553198,13.1779265912058,14.2179937109666,11.7783499833324,12.4543434164659,11.2905720455987,13.3843998094578,10.6198128240841,5.99873508910383,6.54867730256768,9.82707285414579,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6037383129.08813,10482703084.0263,11784025184.0184,10291287391.2274,12988942640.3728,13851565479.6067,19169322225.0983,18024296376.7723,12282315237.4365,13844300530.3734,23205374066.9158,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.51904839332073,12.5039739302008,13.5828834313803,11.216399659103,11.9129083824659,10.757184875869,12.862162776175,10.0897628044951,5.47635804547856,6.06411304199387,9.344922797103,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5506388370.60437,9946591003.79052,11257638994.6996,9800285485.66154,12424266658.272,13197192319.6238,18421367134.7398,17124678011.9438,11212756500.9189,12819902329.0707,22066838452.4838,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.12536831581029,1.09125825768032,1.07643734602879,1.06730291789958,0.980717514199328,1.08515373552764,1.03097546913847,0.965045210900711,0.855668446464007,0.792967283264315,0.739334967359053,2.69595618563794,3.52100953269356,4.85511399313718,4.33274751710363,5.54453662794813,7.7966476823676,6.95869570926039,5.21736776430524,4.85612703313748,9.85336357444363,..,..,..,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,392489031.306204,458186998.021129,470867330.36705,503110203.196556,548259596.728007,595892764.95745,668845045.006247,696515146.841794,764027658.815404,778736699.350552,824135539.85489,868067994.162951,892162779.9594,932551764.648148,1022814540.46807,1331294637.89749,1476577303.087,1637906541.89418,1751967613.52043,1676380874.03703,1745844844.43706,1697831737.16058,1461224344.92151,992389376.394493,895978863.174626,878709150.875296,945910345.306736,1097817509.07171,1073105819.25265,1048426015.81918,1046194403.63737,995829807.101469,..,..,..
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.76467872529638,4.43358780031017,4.44932381794003,4.49316265912316,4.36471382637353,4.51947638281733,4.42426411193509,4.26609140459854,4.24068048530843,4.23568615952559,4.53509259855656,5.23477901954189,9.59763949797804,12.6125288806002,10.4128526514734,9.78138460683297,7.11210164557873,6.25994622501375,5.53803921553141,4.4537531410482,3.57885192378745,..,..,..,..
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,127249532.403246,136942721.589523,121710023.810201,163173532.950699,213882266.042144,263244133.691549,473636729.423042,867122744.298866,1066028228.70105,1268887938.62551,1466383619.67972,1654843101.98588,1422234906.59949,1440666473.2256,1524602188.3608,1225859247.55368,1477780885.9401,1839373412.48728,750564228.401368,777578415.276441,897628643.293666,1248851958.22099,1245047715.74809,1585657257.24623,2096770581.23459,2231678426.71667,2933988797.51169,2705142727.24035,2902054763.32694,3137318313.06095,3489294143.38442,3526805540.00263,3687647145.4631,3925883361.08224,4552067952.24982,5544610387.96824,6336492153.40183,7240550951.37859,8682726236.13798,8954497135.14254,10709040396.8267,3296705637.78004,3983035080.70802,2578011492.26749,2153297842.59129,1550173213.56134,862859372.065801,987581417.379992,1139061376.90631,961554471.13468,379989515.846591,..,..,..,..
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,3.5,3.4,3.2,3.3,2.8,2.9,4.1,4.4,4.4,3.8,3.5,4,4.5,4.8,4.9,4.9,4.7,4.2,3.4,3.7,4.1,4,2.796108,3.0693572,3.3426065,2.8236156,3.2,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,2.5960693,..,..,..
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1901166883.76437,2065106636.39733,2151649988.91938,2268305432.56481,2707504851.96605,3184924887.18183,3718126299.18752,4406134387.95473,5315410840.3201,5488247767.64981,6130285193.18664,1634925995.04738,1077372732.74616,530638744.496126,536847164.750429,411430206.578079,314962136.041719,409560994.097046,533958348.129619,560485047.943851,275641221.659492,..,..,..,..
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.70979065406591,4.60898579999476,4.96002888896686,5.19393262400512,3.68800731164411,4.2346817680157,3.97276737732824,3.64111312600236,4.11722826505601,2.38432513769636,3.17938343654553,15.131985720949,7.79675845076203,2.66448513248801,1.22597755033216,0.81738519775143,0.644133392082892,0.600599579051769,0.687954262286091,0.749159417023206,1.36841967382418,..,..,..,..
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,13076792.1042724,24680526.6099319,36543674.1531317,50179028.0744346,264121286.630975,458961138.079649,530834134.835253,501955184.134254,573515455.530907,1109448965.30312,1346303765.11267,1110257199.22062,870867974.030313,986852392.254946,990008223.849365,907235112.438349,452128382.723604,916713242.103067,904204251.060801,1684126589.21835,2787810349.91281,1902249321.90429,2096628070.19235,2103762599.24286,2164998284.13078,2488573203.85225,2989089485.33183,2695382945.38404,1746160163.79383,2646445174.07106,4181423394.49004,3666330156.37534,4110924967.98346,4538178386.6118,3846313998.76833,5195216996.8068,5689852295.62184,6179817216.32483,8429959767.31092,5040607781.27662,7507706826.05348,9529667336.64052,3235666689.89123,544622998.096402,253522728.358405,129540825.726314,78148002.0838526,94751769.7816117,141498118.512866,161741696.097188,145293837.35472,254054261.767031,..,..,..
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2492807483866,20.7175250862339,22.1093121869424,19.9384367544199,18.8927126301484,18.5346562225876,20.2172800840974,16.9023101955458,12.7839543210398,11.3714474880641,15.6889300315144,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0.00548559756494866,0.166503493318802,0.00467159314691943,0.00281235575400645,0.0305384664949334,0.00954061978401606,0.0029810476174379,0.00325692006383232,0.000836988543701629,0,8.43094669246398E-05,1.78044002828262E-06,0,0,..,..,..,..
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,0,0,0,0,133100.797764584,268628.699134289,0,94476.3983194796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9310337.00425526,340913269.664229,9876030.91333067,6641017.95616897,19232203.3627723,3959371.81214596,609328.635795822,673506.020077032,132647.602835042,0,13300.8271718507,366.200091979687,0,0,0,..,..,..
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.71117403174795,4.61082173703766,4.96162661200696,5.19569049406478,3.68900717310964,4.23552335864389,3.97370999356611,3.6474300559625,4.28493960016347,2.39018604270653,3.18349891145297,15.1673691189049,7.8146504818819,2.68424451089962,1.24897228661275,0.840313941981677,0.663667224528957,0.625007892454061,0.705258144072928,0.768372739870373,1.39898346665844,..,..,..,..
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00138337768203865,0.00183593704290143,0.00159772304010369,0.00175787005966014,0.00099986146552664,0.000841590628188285,0.000942616237869766,0.000831332395188151,0.00120784178865605,0.00118931186324636,0.0013031191534295,0.00484493146101102,0.00835141133585191,0.0167783307941738,0.0197378162167547,0.0220917556865455,0.0195338324460653,0.0243240039353678,0.017302101346809,0.0192133228471667,0.0305637928342611,..,..,..,..
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,500392.772563516,1572260.77050112,379098.576137113,412074.308943089,391944.079109468,1148649.5734127,419717.185348959,523544.892652674,377044.332572466,849253.076340841,846141.757165839,668639.818683478,790812.952886801,948418.750155004,772651.403075544,723091.048121127,937192.111624441,1559088.90824119,1585614.35967214,1173183.40858536,1197557.84497669,2141871.5699455,1858602.49284773,1351027.02093169,637504.796329113,1039691.7774854,1272532.10306934,1245297.64573654,1265488.66516344,2120468.27062708,1013082.2920754,1460440.89474169,1324209.93597334,1535932.1132414,1042780.2405765,1032485.12531459,1350027.99195876,1410964.74360653,2473036.9627706,2514277.32630298,3077149.00030857,3051191.42614174,3465848.48609167,3429504.90087498,4081628.58916355,3501145.21433919,2369897.28752378,3837402.65800674,3558688.30401153,4148109.67378833,3245152.66036364,3074370.12730597,..,..,..
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4846020230902,16.2839372859238,17.6599883690024,15.4452740952967,14.5279988037749,14.0151798397702,15.7930159721623,12.6362187909473,8.5432738357313,7.13576132853852,11.1538374329578,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9142788261.96078,12953455039.062,14636787152.9779,13495248042.0358,15151609107.8838,17194184712.2545,22618975552.6116,21446607048.7844,17492218084.5747,15085431726.2769,26338358711.1762,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.725080582211245,0.673952661005035,0.635110279586372,0.56195032422934,0.541435034000011,0.53338716972964,0.522237033282792,0.530050019589065,0.522377043625266,0.484564260573814,0.482150057042791,0.477538075154615,0.573103093480856,0.701273795393672,0.6592571008524,0.609658276705662,0.559098971882557,0.517988497835837,0.496442339692673,0.4796725525727,0.474476763585657,..,..,..,..
